ticker,name,exchange,asset_type,sector,industry,theme,in_master_universe,in_active_universe,price_ready,momentum_ready,market_direction_ready,liquidity_ready,correlation_ready,fundamentals_ready,dcf_ready,peer_ready,earnings_ready,analyst_estimates_ready,portfolio_ready,overall_readiness_state,ready_features,partial_features,blocked_features,excluded_features,missing_data,next_action,updated_at
JPM,JPMorgan Chase,,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JPM.,2026-05-28T04:09:07.735010+00:00
JRSH,"Jerash Holdings (US), Inc. - Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JRSH.,2026-05-28T04:09:07.737670+00:00
JRVR,"James River Group Holdings, Inc. - Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JRVR.,2026-05-28T04:09:07.740579+00:00
JSPR,"Jasper Therapeutics, Inc. - Class A Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JSPR.,2026-05-28T04:09:07.743936+00:00
JTAI,Jet.AI Inc. - Common Stock,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JTAI.,2026-05-28T04:09:07.747390+00:00
JUNS,"Jupiter Neurosciences, Inc. - Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JUNS.,2026-05-28T04:09:07.750436+00:00
JVA,"Coffee Holding Co., Inc. - Common Stock",NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JVA.,2026-05-28T04:09:07.753347+00:00
JWEL,Jowell Global Ltd. - Ordinary Shares,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JWEL.,2026-05-28T04:09:07.757819+00:00
JXG,JX Luxventure Group Inc. - Common Stock,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JXG.,2026-05-28T04:09:07.763664+00:00
JYD,Jayud Global Logistics Limited - Class A Ordinary Shares,NASDAQ,company,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,blocked,,,"price, momentum, market_direction, liquidity, correlation, fundamentals, dcf, peer, earnings, analyst_estimates",portfolio,"needs at least 5 valid price rows with positive close; dcf: free_cash_flow, shares_outstanding, revenue, fcf_margin, price; peers: needs at least 2 source-backed peer mappings; earnings: trusted local CSV input; analyst_estimates: trusted local CSV input",Import staged price rows or refresh price provider for JYD.,2026-05-28T04:09:07.766949+00:00
